关键词,拆成关键词的关键句,来源句数量
竞选,林克竞选弱智吧主,1
弱智,林克竞选弱智吧主,1
特种兵式旅游,,0
早C晚A,,0
临时抱佛脚,,0
紫米面包犹如汉堡,,0
紫米,紫米面包犹如汉堡,1
面包,紫米面包犹如汉堡,1
犹如,紫米面包犹如汉堡,1
汉堡,紫米面包犹如汉堡,1
很喜欢XX玩家的一句话,,0
很喜欢,很喜欢XX玩家的一句话,1
一句话,很喜欢XX玩家的一句话,1
曹操盖饭,,0
老大驾到,,0
偷盘哥,,0
小胖孩绷不住了,,0
小胖,小胖孩绷不住了,1
绷不住,小胖孩绷不住了,1
啊,,0
挖呀挖呀挖,,0
星穹铁道里的梗要不要这么多,,0
星穹铁道,星穹铁道真的需要这么多梗吗；星穹铁道里的梗要不要这么多,2
要不要,星穹铁道里的梗要不要这么多,1
猫鼠队,,0
乌龟大师仙逝,,0
乌龟,乌龟大师仙逝,1
大师,乌龟大师仙逝,1
仙逝,乌龟大师仙逝,1
CP29段子大赏,,0
干货！如何分辨xx和xx,,0
干货,干货！如何分辨xx和xx,1
我能站在这你能吗,,0
能站在,我能站在这你能吗,1
星穹铁道真的需要这么多梗吗,,0
我承认阁下很强,,0
阁下,我承认阁下很强,1
很强,我承认阁下很强,1
After Like,,0
华语乐坛新四大天王,,0
华语乐坛,华语乐坛新四大天王,1
四大天王,华语乐坛新四大天王,1
雪distance,,0
斐济杯仙人,,0
泰裤辣,,0
oiiaioooooiai,,0
大力王,,0
冰歧淋,,0
这件事情泰裤辣,,0
件事情,这件事情泰裤辣,1
X门,,0
持枪小呆呆,,0
万物皆可Dee,,0
香蕉猫还在哭？Oiiaioooooiai？讲不完的猫梗,,0
香蕉猫,香蕉猫还在哭？Oiiaioooooiai？讲不完的猫梗,1
在哭,香蕉猫还在哭？Oiiaioooooiai？讲不完的猫梗,1
Oiiaioooooiai,香蕉猫还在哭？Oiiaioooooiai？讲不完的猫梗,1
七十二变怎么样的变,,0
七十二变,七十二变怎么样的变,1
更适合中国宝宝体质的XX,,0
更适合,更适合中国宝宝体质的XX,1
宝宝,地下宝宝巴士；更适合中国宝宝体质的XX,2
体质,更适合中国宝宝体质的XX,1
正版极限国度,,0
正版,正版极限国度,1
极限国度,正版极限国度,1
Wojak大战熊猫人,,0
双倍给下一个人,,0
双倍,双倍给下一个人,1
下一个人,双倍给下一个人,1
强风大背头,,0
泰瑞尔都有,,0
Happy猫,,0
我是你XX的粉丝，可以帮你XXX,,0
互联网大佛,,0
万能背锅侠,,0
吴京被电击,,0
无敌战神＞婆罗门,,0
婆罗门,无敌战神＞婆罗门,1
外外外星人,,0
佳能400d,,0
这是围棋吗,,0
达利安造船厂,,0
造船厂,达利安造船厂,1
林克手工耿,,0
happy猫？臭猫？近期热门猫梗一次看个够,,0
happy,happy猫？臭猫？近期热门猫梗一次看个够,1
臭猫,happy猫？臭猫？近期热门猫梗一次看个够,1
一次,happy猫？臭猫？近期热门猫梗一次看个够,1
看个够,happy猫？臭猫？近期热门猫梗一次看个够,1
无论它是对是错,,0
无论,无论它是对是错,1
打虎相机、佳能400D,,0
打虎,打虎相机、佳能400D,1
相机,打虎相机、佳能400D,1
佳能,打虎相机、佳能400D,1
400D,打虎相机、佳能400D,1
XX这么可爱真是抱歉,,0
可爱,XX这么可爱真是抱歉,1
黑美人鱼,,0
外卖练习生,,0
韦一敏效应,,0
把XX练到极致,,0
沃尔玛购物袋,,0
沃尔玛,沃尔玛购物袋,1
购物袋,沃尔玛购物袋,1
川木传,,0
你可算问对人了,,0
可算,你可算问对人了；唐可可是谁？日本动漫里可算有了对味的中国人,2
对人,你可算问对人了,1
哦啊啊哎哎,,0
Dinner特效,,0
啊啊诶哦啊啊,,0
西瓜条,,0
川哥指哪我打哪，我爸说啥我听啥,,0
川哥,川哥指哪我打哪；川哥指哪我打哪，我爸说啥我听啥,2
十年后你儿子问你xx,,0
十年后,十年后你儿子问你xx,1
这是什么地方,,0
什么地方,这是什么地方,1
惊艳外网的披萨塔有,,0
惊艳,惊艳外网的披萨塔有,1
川哥指哪我打哪,,0
茶叶蛋,,0
孔乙己的长衫,,0
孔乙己,孔乙己的长衫,1
长衫,孔乙己的长衫,1
芝顿,,0
芝顿~芝顿,,0
地下宝宝巴士,,0
地下,地下宝宝巴士,1
巴士,地下宝宝巴士,1
Animan Studios,,0
唠嗑区,,0
DNF宝宝巴士,,0
等会你要去哪里,,0
等会,等会你要去哪里,1
要去哪里,等会你要去哪里,1
奶嗝文学,,0
XX是一个魁梧女子,,0
魁梧,XX是一个魁梧女子,1
女子,XX是一个魁梧女子,1
Ai美国总统打游戏,,0
Ai,Ai美国总统打游戏,1
美国总统,Ai美国总统打游戏,1
打游戏,Ai美国总统打游戏,1
wojak,,0
变态冰箱,,0
爱如火,,0
杂交叫兽是什么东西,,0
杂交,杂交叫兽是什么东西,1
叫兽,杂交叫兽是什么东西,1
我放弃了xx，我原本想xx,,0
放弃,我放弃了xx，我原本想xx,1
原本,我放弃了xx，我原本想xx,1
恶魔特效,,0
催眠AI,,0
蝉鸣文学,,0
甜美的空气,,0
Sigma表情,,0
无表情love,,0
sigma表情,,0
阳光开朗大男孩,,0
阳光开朗,阳光开朗大男孩,1
大男孩,阳光开朗大男孩,1
马兆海鸥,,0
青海摇,,0
英雄联盟马服,,0
↑ ↓ ↑ → ← → ← →,,0
长鼻狗,,0
给我玩XXX,,0
电影院睡了三个小时,,0
电影院,电影院睡了三个小时,1
三个小时,电影院睡了三个小时,1
门外明明是秋的味道,,0
门外,门外明明是秋的味道,1
明明,门外明明是秋的味道,1
秋的味,门外明明是秋的味道,1
绝望的文盲,,0
鼠鼠文学,,0
原味九转大肠,,0
原味,原味九转大肠,1
顶级厨师九转大肠,,0
顶级,顶级厨师九转大肠,1
厨师,顶级厨师九转大肠,1
十字手变身,,0
调大休,,0
谢谢龙兔兔,,0
暴雪绿茶,,0
银行不妙曲,,0
战鹰是谁？棋手还是骑手,,0
战鹰,战鹰是谁？棋手还是骑手,1
棋手,战鹰是谁？棋手还是骑手,1
骑手,战鹰是谁？棋手还是骑手,1
夜の踊りXX,,0
万柳书院少爷,,0
万柳书院,万柳书院少爷,1
少爷,万柳书院少爷,1
老马啊,,0
加州女孩,,0
老马啊老马,,0
可颂猫,,0
Quaso,,0
2-16,,0
把阎魔刀给我,,0
魔刀,把阎魔刀给我,1
远方传来风笛,,0
妈妈生的,,0
R星出品，必属精品,,0
出品,R星出品，必属精品,1
精品,R星出品，必属精品,1
卡布叻男团,,0
大妈掏出烧饼,,0
大妈,大妈掏出烧饼,1
掏出,大妈掏出烧饼,1
烧饼,大妈掏出烧饼,1
中国人不蹦洋迪,,0
孙国帅是谁？答辩怎么就火了,,0
孙国帅,孙国帅是谁？答辩怎么就火了,1
答辩,孙国帅是谁？答辩怎么就火了,1
不辣椒响乐,,0
2022热梗年度总结,,0
nia～nia～nia,,0
牛姐的养老保险,,0
养老保险,牛姐的养老保险,1
那年我双手插兜,,0
双手,那年我双手插兜,1
插兜,那年我双手插兜,1
布洛芬小红人,,0
布洛芬,小人起舞？布洛芬小红人；布洛芬小红人,2
小红,小人起舞？布洛芬小红人；布洛芬小红人,2
xx有后坐，打枪更快乐,,0
后坐,xx有后坐，打枪更快乐,1
打枪,xx有后坐，打枪更快乐,1
更快乐,xx有后坐，打枪更快乐,1
小人起舞？布洛芬小红人,,0
小人,小人起舞？布洛芬小红人,1
起舞,小人起舞？布洛芬小红人,1
宝鹃我的嗓子,,0
嗓子,宝鹃我的嗓子,1
太痛苦了,,0
长安汽车,,0
给你俩窝窝,,0
真的想听到你们说话,,0
真的想,真的想听到你们说话,1
说话,真的想听到你们说话,1
牛姐解冻,,0
物资掠夺者是什么东西,,0
物资,物资掠夺者是什么东西,1
掠夺者,物资掠夺者是什么东西,1
黄桃罐头怎么火了,,0
黄桃罐头,黄桃罐头怎么火了,1
世界杯段子大赏,,0
世界杯,世界杯段子大赏；太多意想不到，世界杯梗合集,2
刚刚在那边看到你,,0
刚刚在,刚刚在那边看到你,1
边看,刚刚在那边看到你,1
肉鸡队长,,0
TGA上的红灵入侵,,0
入侵,TGA上的红灵入侵；steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,2
臣妾要告发,,0
杨迪厌世脸,,0
迪宇宙,,0
外国人惊呆，腾讯的AI绘画在外网成了梗,,0
惊呆,外国人惊呆，腾讯的AI绘画在外网成了梗,1
腾讯,外国人惊呆，腾讯的AI绘画在外网成了梗,1
绘画,外国人惊呆，腾讯的AI绘画在外网成了梗,1
你是懂xx的,,0
秦始皇的小曲儿,,0
秦始皇,秦始皇的小曲儿,1
小曲儿,秦始皇的小曲儿,1
旋转鸡块,,0
XX旋转X分钟,,0
第五玩家精神状态,,0
第五,第五玩家精神状态,1
精神状态,当代大学生的精神状态怎么了？发疯文学再次回归；第五玩家精神状态,2
太多意想不到，世界杯梗合集,,0
太多,太多意想不到，世界杯梗合集,1
心之钢联盟,,0
心态侠,,0
矮人科技,,0
妈传菜,,0
富贵不能赢,,0
守望先锋归西,,0
归西,守望先锋归西,1
宝可梦2077,,0
暴雪压塌养猪场,,0
暴雪,暴雪压塌养猪场,1
压塌,暴雪压塌养猪场,1
养猪场,暴雪压塌养猪场,1
骰子型上单,,0
我有冰淇淋这个梗并不止看上去那么简单,,0
冰淇淋,我有冰淇淋这个梗并不止看上去那么简单,1
并不止,我有冰淇淋这个梗并不止看上去那么简单,1
看上去,我有冰淇淋这个梗并不止看上去那么简单,1
杀人篮球是什么东西,,0
篮球,杀人篮球是什么东西,1
外网爆火的慢慢龟跳舞,,0
慢慢,外网爆火的慢慢龟跳舞,1
米津玄师被创飞,,0
金钥匙,,0
尖叫扭曲阴暗地爬行,,0
扭曲,尖叫扭曲阴暗地爬行,1
爬行,尖叫扭曲阴暗地爬行,1
光棍节段子大赏,,0
光棍节,光棍节段子大赏,1
为爱冲锋的勇士,,0
冲锋的勇士,为爱冲锋的勇士,1
我是当主播不是当儿子,,0
主播,以手册之力击碎主播；我是当主播不是当儿子,2
当儿子,我是当主播不是当儿子,1
桀哥直播间来的,,0
直播间,桀哥直播间来的,1
注意看,注意看，这个xx正在,1
注意看，这个xx正在,,0
正在,我们的游戏正在蒸蒸日上；注意看，这个xx正在,2
联合国那边怎么说,,0
联合国,联合国那边怎么说,1
怎么说,联合国那边怎么说,1
当代大学生的精神状态怎么了？发疯文学再次回归,,0
当代大学生,当代大学生的精神状态怎么了？发疯文学再次回归,1
发疯文学,当代大学生的精神状态怎么了？发疯文学再次回归,1
回归,当代大学生的精神状态怎么了？发疯文学再次回归,1
鬼灭之刃里都有,,0
鬼灭之刃,鬼灭之刃里都有,1
无痛养狗,,0
宿舍养“狗,,0
万圣节段子大赏,,0
万圣节,万圣节段子大赏,1
蓝色妖姬,,0
把纸片当成异性,,0
纸片,把纸片当成异性,1
当成,把纸片当成异性,1
异性,把纸片当成异性,1
大外孙你牛波一,,0
大外,大外孙你牛波一,1
牛波一,大外孙你牛波一,1
One Piece是真实存在的,,0
One Piece,One Piece是真实存在的,1
真实,One Piece是真实存在的,1
存在,One Piece是真实存在的；运营不存在的游戏,2
刘慈欣还是留了一手,,0
刘慈欣,刘慈欣还是留了一手,1
留了一手,刘慈欣还是留了一手,1
石矶娘娘,,0
考哥.jpg,,0
种田.JPG,,0
6,,0
jiayou a chunyu,,0
徒手吃面,,0
无所谓，我会出手,,0
无所谓,无所谓，我会出手,1
会出,无所谓，我会出手,1
燕国地图,,0
王宝钏挖野菜,,0
宝钏,王宝钏挖野菜,1
野菜,王宝钏挖野菜,1
表姑在温州搞批发,,0
表姑,表姑在温州搞批发,1
在温州,表姑在温州搞批发,1
批发,表姑在温州搞批发,1
能坚持一个月就行,,0
能坚持,能坚持一个月就行,1
一个月,能坚持一个月就行,1
先质疑，再质疑,,0
先质疑,先质疑，再质疑,1
质疑,先质疑，再质疑；别质疑先相信,2
ka le,,0
每一把都当最后一把,,0
每一,助力每一个梦想；每一把都当最后一把,2
最后一,每一把都当最后一把,1
Ai作画,,0
别质疑先相信,,0
相信,别质疑先相信,1
电子木鱼是什么东西,,0
电子木鱼,电子木鱼是什么东西,1
他在XXX你,,0
飞镖扎气球,,0
我的蛋很大,,0
啊..这个..哎嘿,,0
Among Us眼,,0
过20岁就不要穿的像个孩子,,0
要穿,过20岁就不要穿的像个孩子,1
孩子,过20岁就不要穿的像个孩子,1
男人过了20岁，就别再穿的像个小孩子了,,0
别再,别再给我发XX了；男人过了20岁，就别再穿的像个小孩子了,2
小孩子,男人过了20岁，就别再穿的像个小孩子了,1
萌妹的代名词,,0
萌妹,我们简直就是萌妹的代名词；萌妹的代名词,2
代名词,我们简直就是萌妹的代名词；萌妹的代名词,2
吊子姐,,0
脸给你丢光,,0
朕宰了你,,0
你行不行啊细狗,,0
行不行,你行不行啊细狗,1
细狗,你行不行啊细狗,1
我听随机歌单的感受,,0
听随,我听随机歌单的感受,1
歌单,我听随机歌单的感受,1
电子榨菜,,0
躲闪摇,,0
现在是幻想时间,,0
幻想,现在是幻想时间,1
时间,现在是幻想时间,1
翰流,,0
2077又火了？为何大家都要爆锤亚当重锤,,0
大家都要,2077又火了？为何大家都要爆锤亚当重锤,1
亚当重锤,2077又火了？为何大家都要爆锤亚当重锤,1
我们简直就是萌妹的代名词,,0
三号楼,,0
宇将军文学,,0
iPhone代金券,,0
慌张的祖国人,,0
慌张,慌张的祖国人,1
祖国人,慌张的祖国人,1
羊了个羊,羊了个羊是什么,1
空中飞人,,0
Sad Cat Dance,,0
羊了个羊是什么,,0
如何用Dubstep XX,,0
亦帆峰顺,,0
科技与狠活,,0
老炮儿,,0
中秋节段子大赏,,0
中秋节,中秋节段子大赏,1
古代的监狱,,0
海克斯科技,,0
iPhone段子大赏,,0
网课小丑是什么东西,,0
网课,网课小丑是什么东西,1
小丑,小丑竟是我自己；网课小丑是什么东西,2
李甫西大夫走路,,0
西大,李甫西大夫是谁？苏联动画里的猛男角色火遍外网；李甫西大夫走路,2
走路,李甫西大夫走路,1
李甫西大夫是谁？苏联动画里的猛男角色火遍外网,,0
苏联,李甫西大夫是谁？苏联动画里的猛男角色火遍外网,1
动画里,李甫西大夫是谁？苏联动画里的猛男角色火遍外网,1
猛男,李甫西大夫是谁？苏联动画里的猛男角色火遍外网,1
火遍,李甫西大夫是谁？苏联动画里的猛男角色火遍外网；阿尼亚为什么叫瓜神？这笑容可真是火遍了全球,2
科目三睡觉,,0
每次都想装作很倔强,,0
每次,每次都想装作很倔强,1
想装,每次都想装作很倔强,1
很倔强,每次都想装作很倔强,1
只强,,0
开学买条瑜伽裤,,0
开学,你的牛牛是谁？开学第一天会遇到什么样的新室友；开学买条瑜伽裤,2
瑜伽裤,开学买条瑜伽裤,1
失败的man,,0
最喜欢的一集,,0
小镇刺头,,0
喜欢XX的XX一枚,,0
失败的MAN,,0
电子阳痿,,0
富贵300,,0
爱宝爱宝爱宝,,0
爱宝,爱宝爱宝爱宝,1
探窗KFC,,0
外网音效梗盘点,,0
任何邪恶终将绳之以法,,0
任何,任何邪恶终将绳之以法,1
邪恶,任何邪恶终将绳之以法,1
终将,任何邪恶终将绳之以法,1
绳之以法,任何邪恶终将绳之以法,1
日本人名成语化？如月千早怎么成了成语了,,0
日本人,日本人名成语化？如月千早怎么成了成语了,1
成语,日本人名成语化？如月千早怎么成了成语了；现代成语大会,2
如月千早,日本人名成语化？如月千早怎么成了成语了,1
新型骗菊,,0
喜欢xx的xx一枚,,0
暗黑破坏神里有,,0
暗黑破坏神,暗黑破坏神里有,1
Life Goes On,,0
新学期人设,,0
Life goes on,,0
水晶吊坠,,0
我删掉了xx,,0
不就是一XX吗,,0
我删掉了XX,,0
中元节段子大赏,,0
中元节,中元节段子大赏,1
你是我唯一的姐,,0
唯一的姐,你是我唯一的姐,1
进货式闯关,,0
MBTI人格测试,,0
没有人懂我,,0
意大利面拌42号混凝土？知识搅拌机,,0
意大利面,意大利面拌42号混凝土；意大利面拌42号混凝土？知识搅拌机,2
混凝土,意大利面拌42号混凝土；意大利面拌42号混凝土？知识搅拌机,2
知识,意大利面拌42号混凝土？知识搅拌机,1
搅拌机,意大利面拌42号混凝土？知识搅拌机,1
蓝色药丸,,0
意大利面拌42号混凝土,,0
东风快递,,0
爷们要战斗,,0
急急国王,,0
快说你是来XX旅游的,,0
快说,快说你是来XX旅游的,1
旅游,快说你是来XX旅游的,1
AUGHHHH,,0
熊出没片尾曲,,0
片尾曲,熊出没片尾曲,1
XX扣一分,,0
COME的喂,,0
拖鞋超人,,0
蒂法本人在B站？她和耶路撒冷之间有,,0
蒂法,蒂法本人在B站？她和耶路撒冷之间有,1
耶路撒冷,蒂法本人在B站？她和耶路撒冷之间有,1
之间,蒂法本人在B站？她和耶路撒冷之间有,1
栓Q,,0
为什么我的眼中常含胖虎,,0
眼中,为什么我的眼中常含胖虎,1
胖虎,为什么我的眼中常含胖虎,1
胖虎眼,,0
我刚提的新车,,0
新车,我刚提的新车,1
你这背景太假了,,0
背景,你这背景太假了,1
太假,你这背景太假了,1
我没惹你们任何人,,0
任何人,我没惹你们任何人,1
击股之交,,0
食不食油饼,,0
霹雳舞小猫,,0
别来沾边,,0
小黑子露出鸡脚了吧,,0
小黑子,小黑子露出鸡脚了吧,1
露出,小黑子露出鸡脚了吧,1
鸡脚,小黑子露出鸡脚了吧,1
脑干缺失的美,,0
脑干缺失,脑干缺失的美,1
我徐才魁彻底疯狂,,0
彻底,我徐才魁彻底疯狂,1
疯狂,××，你让我陷入疯狂 -东百往事；我徐才魁彻底疯狂,2
帽子侠,,0
步骤哥哥，我是斯塔克,,0
步骤,步骤哥哥，我是斯塔克,1
哥哥,步骤哥哥，我是斯塔克,1
斯塔克,步骤哥哥，我是斯塔克,1
修女与鱼,,0
田中脊髓剑,,0
Noot Noot,,0
noot noot,,0
哥味文学,,0
小镇做题家,,0
嘻→嘻↗嘻→嘻→嘻,,0
东京电视台传说,,0
东京电视台,东京电视台传说,1
传说,东京电视台传说,1
我去你们说的那个是我xx,,0
招生减章,,0
我去，你们一直说的那个XX是我XX,,0
一直说,我去，你们一直说的那个XX是我XX,1
饿狼传说,,0
嘻→嘻↗嘻→嘻→嘻↗↘,,0
ESO男团,,0
鳖载着理发店（别在这理发店）,,0
理发店,鳖载着理发店（别在这理发店）,1
别在,鳖载着理发店（别在这理发店）,1
雪莲文学,,0
啥叫未成年刺客,,0
未成年,啥叫未成年刺客,1
我来这只办三件事,,0
只办三件事,我来这只办三件事,1
新型人贩子,,0
龙龟宇宙,,0
嘎子偷狗,,0
王迅找茬,,0
雪糕刺客,,0
外网最火的烂电影？《房间》里都有,,0
最火,外网最火的烂电影？《房间》里都有,1
房间,外网最火的烂电影？《房间》里都有,1
一洗,,0
父亲节段子大赏,,0
父亲节,父亲节段子大赏,1
我的狗踩到了蜜蜂,,0
蜜蜂,我的狗踩到了蜜蜂；我的狗踩到了蜜蜂？外网爆火的德普案都有,2
再爱就不礼貌了,,0
再爱,再爱就不礼貌了,1
礼貌,再爱就不礼貌了,1
石榴煎酒,,0
女生自用,,0
DALL-E,,0
duai duai duai,,0
轻轻敲醒沉睡的心灵,,0
轻轻,轻轻敲醒沉睡的心灵,1
敲醒,轻轻敲醒沉睡的心灵,1
沉睡,轻轻敲醒沉睡的心灵,1
心灵,轻轻敲醒沉睡的心灵,1
小孩幼稚，大人刚好,,0
幼稚,小孩幼稚，大人刚好,1
大人,大人时代变了；大人，时代变了；小孩幼稚，大人刚好,3
刚好,小孩幼稚，大人刚好,1
很喜欢文学,,0
我的狗踩到了蜜蜂？外网爆火的德普案都有,,0
如果第一个出考场,,0
出考场,如果第一个出考场；采访第一个出考场的XX,2
白马，定叫他有来无回是,,0
白马,白马，定叫他有来无回是,1
优雅！实在是太优雅了,,0
优雅,优雅！实在太优雅了；优雅！实在是太优雅了,2
实在,优雅！实在是太优雅了,1
你了不起你清高,,0
清高,你了不起你清高,1
可爱滴捏,,0
补档 -东百往事,,0
补档,补档 -东百往事,1
往事,××，你根本没在×××，你躲哪儿去了 -东百往事；××，你让我陷入疯狂 -东百往事；你就是歌姬吧 -东百往事；冰红茶 -东百往事；好果汁 -东百往事；我不道啊～ 红山果行动 -东百往事；拟态baby辣（你太卑鄙啦） -东百往事；来给他整个活儿 -东百往事；独立宣言 -东百往事；皇冠加冕  《决战沈阳大街》完 -东百往事；补档 -东百往事；这一脚，踢出了整个盛夏 -东百往事；这位更是重量级 -东百往事,13
冰红茶 -东百往事,,0
皇冠加冕  《决战沈阳大街》完 -东百往事,,0
皇冠,皇冠加冕  《决战沈阳大街》完 -东百往事,1
加冕,皇冠加冕  《决战沈阳大街》完 -东百往事,1
决战,皇冠加冕  《决战沈阳大街》完 -东百往事,1
沈阳,皇冠加冕  《决战沈阳大街》完 -东百往事,1
大街,皇冠加冕  《决战沈阳大街》完 -东百往事,1
我不道啊～ 红山果行动 -东百往事,,0
红山,我不道啊～ 红山果行动 -东百往事,1
行动,我不道啊～ 红山果行动 -东百往事,1
原来是小别扇,,0
小别扇,原来是小别扇,1
莫比亚斯，一部烂到成了外网梗的电影,,0
莫比亚斯,莫比亚斯，一部烂到成了外网梗的电影,1
一部,莫比亚斯，一部烂到成了外网梗的电影,1
卢雷元年,,0
××，你根本没在×××，你躲哪儿去了 -东百往事,,0
根本,××，你根本没在×××，你躲哪儿去了 -东百往事；快住手，这根本就不是二创,2
你就是歌姬吧 -东百往事,,0
歌姬,你就是歌姬吧 -东百往事,1
电摇嘲讽,,0
来给他整个活儿 -东百往事,,0
活儿,来给他整个活儿 -东百往事,1
好果汁 -东百往事,,0
果汁,好果汁 -东百往事,1
纳米机器，小子,,0
纳米,纳米机器，小子,1
机器,纳米机器，小子,1
人教版教材插图咋了,,0
人教版,人教版教材插图咋了,1
教材,人教版教材插图咋了,1
插图,人教版教材插图咋了,1
不行让晋江来,,0
晋江,不行让晋江来,1
这位更是重量级 -东百往事,,0
重量级,这位更是重量级；这位更是重量级 -东百往事,2
××，你让我陷入疯狂 -东百往事,,0
陷入,××，你让我陷入疯狂 -东百往事；哥谭再次陷入尴尬,2
拟态baby辣（你太卑鄙啦） -东百往事,,0
拟态,拟态baby辣（你太卑鄙啦） -东百往事,1
baby,拟态baby辣（你太卑鄙啦） -东百往事,1
卑鄙,卑鄙的外乡人；拟态baby辣（你太卑鄙啦） -东百往事,2
外网梗超多的电影？封面这人你觉得面熟吗,,0
超多,外网梗超多的电影？封面这人你觉得面熟吗,1
封面,外网梗超多的电影？封面这人你觉得面熟吗,1
觉得,外网梗超多的电影？封面这人你觉得面熟吗,1
面熟,外网梗超多的电影？封面这人你觉得面熟吗,1
王心凌男孩,,0
独立宣言 -东百往事,,0
独立宣言,独立宣言 -东百往事,1
优雅！实在太优雅了,,0
实在太,优雅！实在太优雅了,1
这一脚，踢出了整个盛夏 -东百往事,,0
一脚,这一脚，踢出了整个盛夏；这一脚，踢出了整个盛夏 -东百往事,2
踢出,这一脚，踢出了整个盛夏；这一脚，踢出了整个盛夏 -东百往事,2
盛夏,这一脚，踢出了整个盛夏；这一脚，踢出了整个盛夏 -东百往事,2
东百往事,,0
可达鸭八音盒是什么,,0
可达鸭,可达鸭八音盒是什么,1
八音盒,八音盒、嗨害嗨；可达鸭八音盒是什么,2
可达鸭玩具,,0
插U盘,,0
退！退！退,,0
阿尼亚为什么叫瓜神？这笑容可真是火遍了全球,,0
阿尼亚,阿尼亚为什么叫瓜神？这笑容可真是火遍了全球,1
什么叫,阿尼亚为什么叫瓜神？这笑容可真是火遍了全球,1
笑容,阿尼亚为什么叫瓜神？这笑容可真是火遍了全球,1
可真,阿尼亚为什么叫瓜神？这笑容可真是火遍了全球,1
我能说脏话吗,,0
能说,我能说脏话吗,1
脏话,我能说脏话吗；淦字怎么念？是脏话还,2
北通之子,,0
22=35,,0
我是云南的,,0
釜山图书馆,,0
召唤巨大喷流,,0
召唤,召唤巨大喷流,1
巨大喷流,召唤巨大喷流,1
知网是什么东西,,0
知网是什么,知网是什么东西,1
上巴？心巴？×巴,,0
母亲节段子大赏,,0
母亲节,母亲节段子大赏,1
粥味很冲的角色,,0
很冲,粥味很冲的角色,1
中小学生禁止饮用纯净水,,0
中小学生,中小学生禁止饮用纯净水,1
禁止,中小学生禁止饮用纯净水,1
饮用,中小学生禁止饮用纯净水,1
纯净水,中小学生禁止饮用纯净水,1
天冷防韩,,0
优待俘虏,,0
没活了可以咬打火机,,0
打火机,没活了可以咬打火机,1
娇妻文学,,0
上巴,,0
三合一梗曲？最近外网爆火的手书梗,,0
三合一,三合一梗曲？最近外网爆火的手书梗,1
最近,steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵；三合一梗曲？最近外网爆火的手书梗；我的很大你忍一下？三句话让男人花18万并不简单？盘点最近网上的哪些梗,3
手书,三合一梗曲？最近外网爆火的手书梗,1
你们不要再打了,,0
要再,你们不要再打了,1
都市隶人,,0
孔明不扶阿斗扶爱豆！派对浪客诸葛孔明是怎样的作品,,0
孔明,孔明不扶阿斗扶爱豆！派对浪客诸葛孔明是怎样的作品,1
阿斗,孔明不扶阿斗扶爱豆！派对浪客诸葛孔明是怎样的作品,1
爱豆,孔明不扶阿斗扶爱豆！派对浪客诸葛孔明是怎样的作品,1
派对,孔明不扶阿斗扶爱豆！派对浪客诸葛孔明是怎样的作品,1
浪客,孔明不扶阿斗扶爱豆！派对浪客诸葛孔明是怎样的作品,1
诸葛孔明,孔明不扶阿斗扶爱豆！派对浪客诸葛孔明是怎样的作品,1
作品,孔明不扶阿斗扶爱豆！派对浪客诸葛孔明是怎样的作品,1
比烂大作战,,0
碧桂园五星上将,,0
碧桂园,碧桂园五星上将,1
五星上将,碧桂园五星上将,1
职业法师刘海柱,,0
职业,职业法师刘海柱,1
法师,职业法师刘海柱,1
刘海,职业法师刘海柱,1
让我单挑她,,0
刘畊宏男孩女孩,,0
刘畊宏,刘畊宏男孩女孩,1
男孩女孩,刘畊宏男孩女孩,1
燕子没有你我怎么活,,0
燕子,燕子没有你我怎么活,1
怎么活,燕子没有你我怎么活,1
听我说谢谢你,,0
谢谢,听我说谢谢你；杰克奥特曼为什么会对着赛文说“谢谢你泰罗；滔博赢下比赛为什么要谢谢小杨生煎,3
运营不存在的游戏,,0
运营,运营不存在的游戏,1
硬核劝降,,0
外卷侠,,0
小鸡恰恰舞,,0
娱乐圈经典名场面,,0
娱乐圈,娱乐圈经典名场面,1
经典名场面,娱乐圈经典名场面,1
白刀进绿刀出,,0
喜剧人余华,,0
你是我的神,,0
Beep Beep I'ma sheep,,0
正确的,,0
甲乙刻唐,,0
为菈妮,,0
选我还是PS5,,0
Diablo 4090ti,,0
逼斗的伤害,,0
谢谢逆水寒,,0
愚人节段子小赏,,0
你没事吧,,0
nice,,0
天堂に駆ける,,0
piao旭之争,,0
奥斯卡直播事故！威尔史密斯打脸,,0
奥斯卡,奥斯卡搏击之夜；奥斯卡直播事故！威尔史密斯打脸,2
事故,奥斯卡直播事故！威尔史密斯打脸,1
打脸,奥斯卡直播事故！威尔史密斯打脸,1
奥斯卡搏击之夜,,0
搏击,奥斯卡搏击之夜,1
之夜,奥斯卡搏击之夜,1
王守真,,0
怎么不算呢,,0
小时代文学,,0
四国特工,,0
发生什么事了,,0
发生什么事,发生什么事了,1
互联网掘墓人,,0
互联网,互联网北方女仆；互联网掘墓人,2
掘墓人,互联网掘墓人,1
月入3200,,0
半岛铁盒,,0
我年纪轻轻月入3200,,0
年纪轻轻,我年纪轻轻月入3200,1
月入,我年纪轻轻月入3200,1
拼多多式鼓励,,0
拼多多,拼多多式鼓励,1
鼓励,拼多多式鼓励,1
